Initial tree cover (fraction),Tree cover (fraction) after 200 years
0.38,0.192719191
0.38,0.195430771
0.38,0.191567928
0.38,0.193740234
0.38,0.19486545
0.38,0.190856114
0.38,0.192176655
0.38,0.18583551
0.38,0.186476782
0.38,0.224193797
0.38,0.219980463
0.38,0.233875871
0.38,0.227621526
0.38,0.230852857
0.38,0.254993498
0.38,0.303230256
0.39,0.223313808
0.39,0.218189016
0.39,0.221059024
0.39,0.222167969
0.39,0.218417972
0.39,0.212756082
0.39,0.220626086
0.39,0.214276254
0.39,0.219150394
0.39,0.217786461
0.39,0.213412538
0.39,0.216082901
0.39,0.269165576
0.39,0.280223519
0.39,0.232900396
0.39,0.227008462
0.39,0.230278865
0.39,0.232347012
0.39,0.227003038
0.39,0.228191182
0.39,0.226414934
0.39,0.247555345
0.39,0.247278646
0.39,0.249259979
0.39,0.250958115
0.39,0.248957247
0.39,0.296520174
0.39,0.264221996
0.39,0.292200536
0.39,0.294532329
0.39,0.294261068
0.39,0.30223307
0.39,0.28785482
0.4,0.22934787
0.4,0.229781896
0.4,0.226261929
0.4,0.245868057
0.4,0.238534078
0.4,0.249989152
0.4,0.258173823
0.4,0.24774088
0.4,0.249035373
0.4,0.248940974
0.4,0.253947496
0.4,0.24730143
0.4,0.251877159
0.4,0.250666231
0.4,0.249634326
0.4,0.248057723
0.4,0.293362617
0.4,0.311537534
0.41,0.252225488
0.41,0.251353085
0.41,0.233546004
0.41,0.2583507
0.41,0.257722437
0.41,0.260126948
0.41,0.260283202
0.41,0.26524958
0.41,0.281208754
0.41,0.2599338
0.41,0.257604152
0.41,0.233617619
0.41,0.23308377
0.41,0.235007599
0.41,0.228721783
0.41,0.235620663
0.41,0.309106976
0.41,0.309501946
0.42,0.236225039
0.42,0.238859594
0.42,0.235814884
0.42,0.249164492
0.42,0.243914932
0.42,0.246927083
0.42,0.265037984
0.42,0.266343325
0.42,0.268544912
0.42,0.27374348
0.42,0.268521041
0.42,0.24913846
0.42,0.25251627
0.42,0.25017795
0.42,0.247404516
0.42,0.25313586
0.42,0.311715484
0.42,0.311370432
0.42,0.264866531
0.42,0.266514748
0.42,0.254603952
0.42,0.293435335
0.42,0.300328761
0.42,0.279733062
0.42,0.290970057
0.42,0.29095161
0.42,0.29392904
0.42,0.290964633
0.42,0.279702693
0.42,0.257700741
0.42,0.26203993
0.42,0.254091799
0.42,0.257085502
0.42,0.259310991
0.42,0.305557728
0.42,0.322018236
0.43,0.25203234
0.43,0.256861985
0.43,0.951352
0.43,0.34049046
0.43,0.950307071
0.43,0.347802728
0.43,0.334595263
0.43,0.95056206
0.43,0.32148546
0.43,0.951920569
0.43,0.327694237
0.43,0.359198123
0.43,0.30942601
0.43,0.322090924
0.43,0.329284936
0.43,0.329217672
0.43,0.325432956
0.43,0.329213321
0.43,0.325666219
0.43,0.331264108
0.43,0.325536013
0.43,0.324093968
0.44,0.268559039
0.44,0.262011707
0.44,0.30528754
0.44,0.295646697
0.44,0.334810108
0.44,0.333756506
0.44,0.951885879
0.44,0.332788616
0.44,0.330805123
0.44,0.338050127
0.44,0.951872826
0.44,0.950332046
0.44,0.358381063
0.44,0.336295575
0.44,0.335917979
0.44,0.340527356
0.44,0.348586142
0.44,0.318854153
0.44,0.333971351
0.44,0.33434245
0.44,0.342918843
0.44,0.345814884
0.44,0.331870645
0.44,0.32967338
0.44,0.259979397
0.44,0.260845274
0.44,0.261728525
0.44,0.261690527
0.44,0.279748261
0.44,0.294715703
0.44,0.337568372
0.44,0.358165145
0.44,0.950461149
0.44,0.331131727
0.44,0.340518653
0.44,0.337769091
0.44,0.950235486
0.44,0.362853736
0.44,0.365820318
0.44,0.342813581
0.44,0.33299914
0.44,0.352161467
0.44,0.329193801
0.44,0.353593737
0.44,0.33800891
0.44,0.362828761
0.44,0.336620003
0.44,0.330780178
0.44,0.340611964
0.44,0.391323775
0.45,0.308986545
0.45,0.297921002
0.45,0.349712461
0.45,0.351456165
0.45,0.369917542
0.45,0.343577474
0.45,0.35090062
0.45,0.950286448
0.45,0.366203338
0.45,0.343542755
0.45,0.370578349
0.45,0.359860033
0.45,0.364280611
0.45,0.36161676
0.45,0.343682736
0.45,0.344614804
0.45,0.360381931
0.45,0.951971591
0.45,0.335889757
0.45,0.345723748
0.45,0.359290361
0.45,0.350380868
0.46,0.951369345
0.46,0.272368699
0.46,0.310676008
0.46,0.282661676
0.46,0.303620875
0.46,0.286162108
0.46,0.302567273
0.46,0.309216589
0.46,0.298587233
0.46,0.325633675
0.46,0.28193903
0.46,0.287751734
0.46,0.290602207
0.46,0.302750647
0.46,0.306496322
0.46,0.312152773
0.46,0.280938596
0.46,0.291097015
0.46,0.27445963
0.46,0.304907769
0.46,0.289606124
0.46,0.281433374
0.46,0.313032776
0.46,0.289292544
0.46,0.359214395
0.46,0.376786023
0.46,0.350171447
0.46,0.351997614
0.46,0.950049937
0.46,0.357696384
0.46,0.370373249
0.46,0.36738497
0.46,0.348416895
0.46,0.950503469
0.46,0.3574121
0.46,0.357300341
0.46,0.951039493
0.46,0.353209645
0.46,0.349501967
0.46,0.366944432
0.46,0.951544046
0.46,0.393312722
0.46,0.950784504
0.46,0.951455057
0.47,0.348843306
0.47,0.367558599
0.47,0.950258255
0.47,0.36703667
0.47,0.353052288
0.47,0.356586367
0.47,0.951624334
0.47,0.364326179
0.47,0.952351332
0.47,0.950245202
0.47,0.950115025
0.47,0.950618505
0.47,0.372248262
0.47,0.353080511
0.47,0.367409945
