Initial tree cover (fraction),Tree cover (fraction) after 100 years
0.38,0.219875216
0.38,0.229941413
0.38,0.219073355
0.38,0.217624784
0.38,0.221567929
0.38,0.274348944
0.38,0.294221997
0.38,0.271192491
0.38,0.276605904
0.38,0.271048188
0.38,0.27517578
0.38,0.283977866
0.38,0.258156478
0.39,0.247721359
0.39,0.24597764
0.39,0.252041012
0.39,0.248675123
0.39,0.245410159
0.39,0.249656036
0.39,0.223704427
0.39,0.230391711
0.39,0.230712891
0.39,0.243544921
0.39,0.230780169
0.39,0.952056229
0.39,0.323225915
0.39,0.315945089
0.39,0.297282994
0.39,0.289876312
0.39,0.288022995
0.39,0.302454442
0.39,0.300366759
0.39,0.25842014
0.39,0.237035587
0.39,0.239873052
0.39,0.241834849
0.39,0.243122831
0.39,0.242798388
0.39,0.238952905
0.39,0.242021486
0.39,0.244232863
0.39,0.244546443
0.39,0.241357416
0.39,0.305333108
0.39,0.296629786
0.39,0.298460275
0.39,0.298570961
0.39,0.303357214
0.39,0.306382388
0.39,0.315711796
0.39,0.294219822
0.40,0.257495672
0.40,0.267720282
0.40,0.26833877
0.40,0.267612845
0.40,0.267062724
0.40,0.269622386
0.40,0.251034081
0.40,0.251823992
0.40,0.245388448
0.40,0.250015199
0.40,0.254486769
0.40,0.306934685
0.40,0.314188361
0.40,0.332758248
0.40,0.307349175
0.40,0.314146042
0.40,0.318910599
0.40,0.310144305
0.40,0.311499566
0.41,0.26015842
0.41,0.258668631
0.41,0.255479604
0.41,0.259526908
0.41,0.261925995
0.41,0.265696615
0.41,0.258513451
0.41,0.254573554
0.41,0.259996742
0.41,0.252834201
0.41,0.255793184
0.41,0.317975253
0.41,0.347713768
0.41,0.315572917
0.41,0.307943791
0.41,0.320452482
0.41,0.312610686
0.41,0.316467017
0.41,0.317376316
0.42,0.264306635
0.42,0.268348515
0.42,0.270264745
0.42,0.264824212
0.42,0.264871955
0.42,0.264421672
0.42,0.273998469
0.42,0.294547528
0.42,0.277282983
0.42,0.273353964
0.42,0.273191184
0.42,0.317799479
0.42,0.391631931
0.42,0.343981117
0.42,0.318291008
0.42,0.338820517
0.42,0.320367843
0.42,0.329432517
0.42,0.328089207
0.42,0.269468307
0.42,0.273652345
0.42,0.267992616
0.42,0.279119998
0.42,0.295097649
0.42,0.273147792
0.42,0.266644955
0.42,0.267303616
0.42,0.273366958
0.42,0.267849386
0.42,0.270886511
0.42,0.326539725
0.42,0.338945299
0.42,0.322243929
0.42,0.342582464
0.42,0.332167983
0.42,0.340604395
0.42,0.341933608
0.42,0.34041667
0.43,0.32940647
0.43,0.323644757
0.43,0.295887589
0.43,0.336563587
0.43,0.336166441
0.43,0.357909083
0.43,0.344709188
0.43,0.335919052
0.43,0.334346801
0.43,0.952037752
0.43,0.951314032
0.43,0.33427301
0.43,0.344309896
0.43,0.336660147
0.43,0.375139982
0.43,0.336250007
0.43,0.342757165
0.43,0.341240227
0.43,0.33342123
0.43,0.950860441
0.43,0.328406036
0.43,0.340945095
0.43,0.951780617
0.43,0.95064342
0.43,0.294549704
0.44,0.951485455
0.44,0.950664043
0.44,0.950843096
0.44,0.351618916
0.44,0.338945299
0.44,0.950007617
0.44,0.350856125
0.44,0.349194884
0.44,0.360961378
0.44,0.352014989
0.44,0.953536212
0.44,0.340611964
0.44,0.386844605
0.44,0.368211806
0.44,0.345613062
0.44,0.342955738
0.44,0.356164277
0.44,0.37409398
0.44,0.347055107
0.44,0.351762146
0.44,0.950758457
0.44,0.950859368
0.44,0.311516941
0.44,0.312792957
0.44,0.316992193
0.44,0.297860235
0.44,0.324257821
0.44,0.284347862
0.44,0.2809017
0.44,0.281481117
0.44,0.314216584
0.44,0.36940971
0.44,0.345422089
0.44,0.376888007
0.44,0.355496973
0.44,0.345266938
0.44,0.349799275
0.44,0.356576592
0.44,0.364966363
0.44,0.343848735
0.44,0.37736544
0.44,0.353200942
0.44,0.374764532
0.44,0.366139323
0.44,0.952325284
0.44,0.354766697
0.44,0.352892786
0.44,0.342795134
0.44,0.363636076
0.44,0.365581602
0.45,0.300615221
0.45,0.950831175
0.45,0.951006949
0.45,0.333837897
0.45,0.31374675
0.45,0.372925341
0.45,0.365187705
0.45,0.951791465
0.45,0.363160819
0.45,0.35064128
0.45,0.952877581
0.45,0.377127826
0.45,0.34706381
0.45,0.361871749
0.45,0.950367868
0.45,0.36448133
0.45,0.351649314
0.45,0.950158417
0.45,0.370041221
0.45,0.377154946
0.45,0.951512575
0.45,0.354395628
0.45,0.381362855
0.45,0.3778418
0.45,0.951228321
0.46,0.951253235
0.46,0.319993496
0.46,0.371391058
0.46,0.367531478
0.46,0.386892349
0.46,0.374670148
0.46,0.951832712
0.46,0.951389968
0.46,0.951119781
0.46,0.37080729
0.46,0.371042758
0.46,0.37266168
0.46,0.39472115
0.46,0.380438358
0.46,0.368907332
0.46,0.3785384
0.46,0.951712251
0.46,0.95077908
0.46,0.362397999
0.46,0.364982635
0.46,0.376953125
0.46,0.327725708
0.46,0.317585707
0.47,0.951717675
0.47,0.954046249
0.47,0.367196172
0.47,0.951866329
0.47,0.951891303
0.47,0.377057284
0.47,0.95277667
0.47,0.370695531
0.47,0.383701175
0.47,0.951264083
0.47,0.95213002
0.47,0.370865881
0.47,0.950692296
0.47,0.952704012
0.47,0.37482965
0.47,0.951609135
0.47,0.378288835
0.47,0.952814698
0.47,0.369153649
0.47,0.952127814
0.47,0.350864798
0.47,0.948368073
0.47,0.951608062
0.47,0.949600697
0.47,0.94820857
0.47,0.384703785
0.47,0.95167315
0.47,0.952291667
0.47,0.950778008
0.47,0.373096794
0.47,0.376375854
0.47,0.952502191
0.47,0.370368928
0.47,0.952581406
0.47,0.95313257
0.47,0.951505005
0.47,0.379999995
0.47,0.952482641
0.47,0.950220287
0.47,0.951907575
0.47,0.376226127
0.47,0.950246334
0.47,0.951643884
0.47,0.950327694
0.47,0.950932086
0.47,0.950755179
0.48,0.950986326
0.48,0.951629758
0.48,0.951652586
0.48,0.952045381
0.48,0.950695515
0.48,0.952612877
0.48,0.952995896
0.48,0.952272117
0.48,0.953692496
0.48,0.953157544
0.48,0.953758657
0.48,0.950444877
0.48,0.950869143
0.48,0.952358961
0.48,0.952014983
0.48,0.952976346
0.48,0.952163637
0.48,0.95247829
0.48,0.950629354
0.48,0.950800776
0.48,0.951642811
0.48,0.953361571
0.48,0.951716602
0.48,0.951248944
0.48,0.949749351
0.48,0.950802922
0.48,0.950884342
0.49,0.94921118
0.49,0.95187068
0.49,0.950061858
0.49,0.952483714
0.49,0.951392174
0.49,0.950318992
0.49,0.95016712
0.49,0.951790392
0.49,0.952592254
0.49,0.952361107
0.49,0.951904297
0.49,0.952373028
0.49,0.952928603
0.49,0.95062393
0.49,0.948625207
0.49,0.950645626
0.49,0.948582888
0.49,0.950655401
0.49,0.950582683
0.49,0.951586366
0.49,0.95210284
0.49,0.951886952
0.49,0.953770638
0.49,0.951579869
0.49,0.951318383
0.49,0.951417089
0.49,0.950363517
0.49,0.953537345
0.49,0.953358293
0.49,0.952174485
0.49,0.950084627
0.49,0.952076852
0.50,0.951364994
0.50,0.950892985
0.50,0.951167524
0.50,0.949007154
0.50,0.954178631
0.50,0.95335722
0.50,0.951416016
0.50,0.953004539
0.50,0.950367868
0.50,0.951174021
0.50,0.951810956
0.50,0.950320125
0.50,0.950590253
0.50,0.953839004
0.50,0.952052951
0.50,0.950553358
0.50,0.95039928
0.50,0.951032996
0.50,0.951037347
0.50,0.94810003
0.50,0.951217473
0.51,0.948661029
0.51,0.948434234
0.51,0.950049937
0.51,0.950874567
0.51,0.95165801
0.51,0.950828969
0.51,0.950696588
0.51,0.950297296
0.51,0.950974405
0.51,0.951005876
0.51,0.951465905
0.51,0.950818121
0.51,0.950077057
0.51,0.948147774
0.51,0.950766087
0.51,0.949046195
0.51,0.949609399
0.51,0.951087236
0.52,0.953977883
0.52,0.951546252
0.52,0.951405168
