Spatial pattern type (uniform or perlin noise. If perlin noise: patch area is given in m² with standard deviation in parentheses),Recruits yr^-1
uniformly random,329326
uniformly random,331548
uniformly random,329578
uniformly random,331803
uniformly random,328469
uniformly random,331124
uniformly random,332688
uniformly random,327464
uniformly random,330656
uniformly random,329614
uniformly random,330435
uniformly random,331320
uniformly random,328780
uniformly random,330740
uniformly random,330472
uniformly random,328880
uniformly random,328239
uniformly random,331550
uniformly random,328827
uniformly random,330005
uniformly random,330028
uniformly random,331754
uniformly random,329190
uniformly random,329768
uniformly random,330786
uniformly random,331500
uniformly random,330155
uniformly random,328719
uniformly random,329198
uniformly random,331711
uniformly random,333570
uniformly random,327174
uniformly random,331858
uniformly random,331273
uniformly random,330969
uniformly random,331104
uniformly random,330231
uniformly random,332304
uniformly random,329807
uniformly random,328593
uniformly random,331240
uniformly random,329263
uniformly random,330379
uniformly random,329093
uniformly random,329920
uniformly random,329361
uniformly random,327936
uniformly random,327365
uniformly random,329984
uniformly random,331787
9 x 10³ (7 x 10⁴),338999
9 x 10³ (7 x 10⁴),341034
9 x 10³ (7 x 10⁴),342357
9 x 10³ (7 x 10⁴),340380
9 x 10³ (7 x 10⁴),339174
9 x 10³ (7 x 10⁴),342293
9 x 10³ (7 x 10⁴),341180
9 x 10³ (7 x 10⁴),340918
9 x 10³ (7 x 10⁴),340543
9 x 10³ (7 x 10⁴),341680
9 x 10³ (7 x 10⁴),339674
9 x 10³ (7 x 10⁴),338484
9 x 10³ (7 x 10⁴),341531
9 x 10³ (7 x 10⁴),340056
9 x 10³ (7 x 10⁴),341376
9 x 10³ (7 x 10⁴),339348
9 x 10³ (7 x 10⁴),341576
9 x 10³ (7 x 10⁴),339883
9 x 10³ (7 x 10⁴),339480
9 x 10³ (7 x 10⁴),340703
9 x 10³ (7 x 10⁴),339832
9 x 10³ (7 x 10⁴),339189
9 x 10³ (7 x 10⁴),337624
9 x 10³ (7 x 10⁴),341592
9 x 10³ (7 x 10⁴),338945
9 x 10³ (7 x 10⁴),340270
9 x 10³ (7 x 10⁴),339324
9 x 10³ (7 x 10⁴),339766
9 x 10³ (7 x 10⁴),337673
9 x 10³ (7 x 10⁴),341901
9 x 10³ (7 x 10⁴),340979
9 x 10³ (7 x 10⁴),340824
9 x 10³ (7 x 10⁴),341543
9 x 10³ (7 x 10⁴),340280
9 x 10³ (7 x 10⁴),340996
9 x 10³ (7 x 10⁴),340155
9 x 10³ (7 x 10⁴),340850
9 x 10³ (7 x 10⁴),344717
9 x 10³ (7 x 10⁴),342819
9 x 10³ (7 x 10⁴),339941
9 x 10³ (7 x 10⁴),338722
9 x 10³ (7 x 10⁴),339627
9 x 10³ (7 x 10⁴),340352
9 x 10³ (7 x 10⁴),339878
9 x 10³ (7 x 10⁴),343581
9 x 10³ (7 x 10⁴),340476
9 x 10³ (7 x 10⁴),340441
9 x 10³ (7 x 10⁴),341531
9 x 10³ (7 x 10⁴),342011
9 x 10³ (7 x 10⁴),339687
3 x 10⁴ (2 x 10⁵),327933
3 x 10⁴ (2 x 10⁵),328923
3 x 10⁴ (2 x 10⁵),322662
3 x 10⁴ (2 x 10⁵),327735
3 x 10⁴ (2 x 10⁵),330524
3 x 10⁴ (2 x 10⁵),328857
3 x 10⁴ (2 x 10⁵),325485
3 x 10⁴ (2 x 10⁵),327299
3 x 10⁴ (2 x 10⁵),326397
3 x 10⁴ (2 x 10⁵),327137
3 x 10⁴ (2 x 10⁵),327238
3 x 10⁴ (2 x 10⁵),320231
3 x 10⁴ (2 x 10⁵),323539
3 x 10⁴ (2 x 10⁵),327446
3 x 10⁴ (2 x 10⁵),324486
3 x 10⁴ (2 x 10⁵),328317
3 x 10⁴ (2 x 10⁵),319991
3 x 10⁴ (2 x 10⁵),323890
3 x 10⁴ (2 x 10⁵),326307
3 x 10⁴ (2 x 10⁵),325735
3 x 10⁴ (2 x 10⁵),326380
3 x 10⁴ (2 x 10⁵),330913
3 x 10⁴ (2 x 10⁵),326375
3 x 10⁴ (2 x 10⁵),324128
3 x 10⁴ (2 x 10⁵),327266
3 x 10⁴ (2 x 10⁵),329850
3 x 10⁴ (2 x 10⁵),324533
3 x 10⁴ (2 x 10⁵),327557
3 x 10⁴ (2 x 10⁵),331204
3 x 10⁴ (2 x 10⁵),330003
3 x 10⁴ (2 x 10⁵),320734
3 x 10⁴ (2 x 10⁵),326737
3 x 10⁴ (2 x 10⁵),323105
3 x 10⁴ (2 x 10⁵),326363
3 x 10⁴ (2 x 10⁵),328711
3 x 10⁴ (2 x 10⁵),321587
3 x 10⁴ (2 x 10⁵),327194
3 x 10⁴ (2 x 10⁵),324442
3 x 10⁴ (2 x 10⁵),323626
3 x 10⁴ (2 x 10⁵),324759
3 x 10⁴ (2 x 10⁵),325548
3 x 10⁴ (2 x 10⁵),328250
3 x 10⁴ (2 x 10⁵),326094
3 x 10⁴ (2 x 10⁵),324964
3 x 10⁴ (2 x 10⁵),326935
3 x 10⁴ (2 x 10⁵),324027
3 x 10⁴ (2 x 10⁵),327504
3 x 10⁴ (2 x 10⁵),323793
3 x 10⁴ (2 x 10⁵),325620
7 x 10⁴ (2 x 10⁵),327182
7 x 10⁴ (2 x 10⁵),305414
7 x 10⁴ (2 x 10⁵),313815
7 x 10⁴ (2 x 10⁵),294589
7 x 10⁴ (2 x 10⁵),298407
7 x 10⁴ (2 x 10⁵),301690
7 x 10⁴ (2 x 10⁵),310967
7 x 10⁴ (2 x 10⁵),289476
