Spatial pattern type (uniform or perlin noise. If perlin noise: patch area is given in m² with standard deviation in parentheses),Recruits yr^-1
uniformly random,340568
uniformly random,339913
uniformly random,341221
uniformly random,338451
uniformly random,340253
uniformly random,340156
uniformly random,340294
uniformly random,338877
uniformly random,341388
uniformly random,340730
uniformly random,341591
uniformly random,340593
uniformly random,341364
uniformly random,339524
uniformly random,341108
uniformly random,339401
uniformly random,340623
uniformly random,339080
uniformly random,337991
uniformly random,339407
uniformly random,337634
uniformly random,336167
uniformly random,341728
uniformly random,339336
uniformly random,341688
uniformly random,341190
uniformly random,339522
uniformly random,340746
uniformly random,339123
uniformly random,340958
uniformly random,338567
uniformly random,339571
uniformly random,341803
uniformly random,343200
uniformly random,340181
uniformly random,341449
uniformly random,341074
uniformly random,341152
uniformly random,339118
uniformly random,341079
uniformly random,339368
uniformly random,337963
uniformly random,340192
uniformly random,340652
uniformly random,339181
uniformly random,339524
uniformly random,338548
uniformly random,341403
uniformly random,340413
uniformly random,338891
9 x 10³ (7 x 10⁴),333119
9 x 10³ (7 x 10⁴),329694
9 x 10³ (7 x 10⁴),331107
9 x 10³ (7 x 10⁴),331466
9 x 10³ (7 x 10⁴),330592
9 x 10³ (7 x 10⁴),332583
9 x 10³ (7 x 10⁴),334570
9 x 10³ (7 x 10⁴),332081
9 x 10³ (7 x 10⁴),330435
9 x 10³ (7 x 10⁴),331366
9 x 10³ (7 x 10⁴),330922
9 x 10³ (7 x 10⁴),333088
9 x 10³ (7 x 10⁴),331286
9 x 10³ (7 x 10⁴),330481
9 x 10³ (7 x 10⁴),332476
9 x 10³ (7 x 10⁴),329898
9 x 10³ (7 x 10⁴),329871
9 x 10³ (7 x 10⁴),330562
9 x 10³ (7 x 10⁴),330757
9 x 10³ (7 x 10⁴),332507
9 x 10³ (7 x 10⁴),332712
9 x 10³ (7 x 10⁴),331687
9 x 10³ (7 x 10⁴),334181
9 x 10³ (7 x 10⁴),333175
9 x 10³ (7 x 10⁴),331872
9 x 10³ (7 x 10⁴),333122
9 x 10³ (7 x 10⁴),330617
9 x 10³ (7 x 10⁴),332000
9 x 10³ (7 x 10⁴),332189
9 x 10³ (7 x 10⁴),331779
9 x 10³ (7 x 10⁴),331925
9 x 10³ (7 x 10⁴),331616
9 x 10³ (7 x 10⁴),331704
