Intra-set recruitment variances (Recruits^2 yr^-2),Unnamed: 1,Unnamed: 2,Unnamed: 3
30698596.36,,Ensemble-level mean of recruitment variance (Recruits^2 yr^-2),4091465.917
3345499.528,,Ensemble-level standard deviation of recruitment variance (Recruits^2 yr^-2),2022.737234
2350460.025,,,
2693542.446,,,
2308658.933,,,
3139017.379,,,
1385256.871,,,
3560922.0,,,
2277234.379,,,
2047154.538,,,
1454654.307,,,
3560680.82,,,
1960737.43,,,
3177356.859,,,
4861380.215,,,
3189274.951,,,
2219097.815,,,
3113636.767,,,
2520680.285,,,
1965476.43,,,
