Intra-set recruitment variances (Recruits^2 yr^-2),Unnamed: 1,Unnamed: 2,Unnamed: 3
1939653623,,Ensemble-level mean of recruitment variance (Recruits^2 yr^-2),1956303776.0
1199387452,,Ensemble-level standard deviation of recruitment variance (Recruits^2 yr^-2),44230.12295
2256717955,,,
1493906658,,,
1742685953,,,
2999287245,,,
2122823505,,,
2221501864,,,
1878457853,,,
1825892197,,,
1751352109,,,
2171522630,,,
1574172529,,,
1698121863,,,
2202842647,,,
1538669088,,,
2557468463,,,
1650991174,,,
2148361546,,,
2152259168,,,
