Intra-set recruitment variances (Recruits^2 yr^-2),Unnamed: 1,Unnamed: 2,Unnamed: 3
870839.3469,,Ensemble-level mean of recruitment variance (Recruits^2 yr^-2),877092.9792
1046619.327,,Ensemble-level standard deviation of recruitment variance (Recruits^2 yr^-2),936.5324229
603236.9444,,,
653295.3662,,,
928629.7107,,,
962204.9333,,,
1013202.616,,,
1007888.189,,,
876853.4739,,,
1129912.605,,,
894859.7124,,,
1318930.687,,,
864996.6951,,,
600271.7344,,,
756287.6084,,,
725822.4744,,,
1027107.02,,,
737010.3025,,,
727477.5586,,,
796413.2773,,,
