Spatial pattern type (uniform or perlin noise. If perlin noise: patch area is given in m² with standard deviation in parentheses),Recruits yr^-1
uniformly random,264868
uniformly random,268398
uniformly random,269288
uniformly random,269459
uniformly random,266581
uniformly random,267457
uniformly random,267621
uniformly random,268293
uniformly random,267790
uniformly random,265455
uniformly random,266477
uniformly random,267902
uniformly random,264124
uniformly random,268002
uniformly random,268319
uniformly random,265931
uniformly random,271388
uniformly random,267790
uniformly random,265744
uniformly random,266912
uniformly random,267705
uniformly random,269520
uniformly random,268556
uniformly random,267825
uniformly random,267524
uniformly random,266053
uniformly random,269072
uniformly random,266546
uniformly random,267545
uniformly random,268796
uniformly random,266397
uniformly random,266100
uniformly random,266179
uniformly random,268276
uniformly random,263518
uniformly random,267448
uniformly random,268905
uniformly random,264951
uniformly random,267808
uniformly random,266625
uniformly random,265988
uniformly random,267601
uniformly random,266310
uniformly random,267083
uniformly random,267639
uniformly random,267329
uniformly random,264036
uniformly random,266879
uniformly random,268101
uniformly random,270002
9 x 10³ (7 x 10⁴),277466
9 x 10³ (7 x 10⁴),277444
9 x 10³ (7 x 10⁴),279167
9 x 10³ (7 x 10⁴),278406
9 x 10³ (7 x 10⁴),278625
9 x 10³ (7 x 10⁴),277132
9 x 10³ (7 x 10⁴),279021
9 x 10³ (7 x 10⁴),278406
9 x 10³ (7 x 10⁴),277555
9 x 10³ (7 x 10⁴),277845
9 x 10³ (7 x 10⁴),280441
9 x 10³ (7 x 10⁴),278752
9 x 10³ (7 x 10⁴),276391
9 x 10³ (7 x 10⁴),277699
9 x 10³ (7 x 10⁴),279299
9 x 10³ (7 x 10⁴),278678
9 x 10³ (7 x 10⁴),277903
9 x 10³ (7 x 10⁴),279461
9 x 10³ (7 x 10⁴),279784
9 x 10³ (7 x 10⁴),281013
9 x 10³ (7 x 10⁴),278092
9 x 10³ (7 x 10⁴),279143
9 x 10³ (7 x 10⁴),280129
9 x 10³ (7 x 10⁴),278807
9 x 10³ (7 x 10⁴),278546
9 x 10³ (7 x 10⁴),277082
9 x 10³ (7 x 10⁴),277734
9 x 10³ (7 x 10⁴),279060
9 x 10³ (7 x 10⁴),279864
9 x 10³ (7 x 10⁴),279571
9 x 10³ (7 x 10⁴),278624
9 x 10³ (7 x 10⁴),277354
9 x 10³ (7 x 10⁴),278667
9 x 10³ (7 x 10⁴),277077
9 x 10³ (7 x 10⁴),279897
9 x 10³ (7 x 10⁴),276926
9 x 10³ (7 x 10⁴),277027
9 x 10³ (7 x 10⁴),280808
9 x 10³ (7 x 10⁴),276556
9 x 10³ (7 x 10⁴),279488
9 x 10³ (7 x 10⁴),278627
9 x 10³ (7 x 10⁴),279689
9 x 10³ (7 x 10⁴),277222
9 x 10³ (7 x 10⁴),278796
9 x 10³ (7 x 10⁴),276485
9 x 10³ (7 x 10⁴),278354
9 x 10³ (7 x 10⁴),278620
9 x 10³ (7 x 10⁴),278500
9 x 10³ (7 x 10⁴),280307
9 x 10³ (7 x 10⁴),279584
3 x 10⁴ (2 x 10⁵),260285
3 x 10⁴ (2 x 10⁵),267643
3 x 10⁴ (2 x 10⁵),269115
3 x 10⁴ (2 x 10⁵),264743
3 x 10⁴ (2 x 10⁵),261378
3 x 10⁴ (2 x 10⁵),259868
3 x 10⁴ (2 x 10⁵),266795
3 x 10⁴ (2 x 10⁵),267377
3 x 10⁴ (2 x 10⁵),260525
3 x 10⁴ (2 x 10⁵),266834
3 x 10⁴ (2 x 10⁵),266033
3 x 10⁴ (2 x 10⁵),263154
3 x 10⁴ (2 x 10⁵),264642
3 x 10⁴ (2 x 10⁵),266422
3 x 10⁴ (2 x 10⁵),264323
3 x 10⁴ (2 x 10⁵),266863
3 x 10⁴ (2 x 10⁵),270145
3 x 10⁴ (2 x 10⁵),267102
3 x 10⁴ (2 x 10⁵),268856
3 x 10⁴ (2 x 10⁵),262263
3 x 10⁴ (2 x 10⁵),262338
3 x 10⁴ (2 x 10⁵),265672
3 x 10⁴ (2 x 10⁵),265547
3 x 10⁴ (2 x 10⁵),266769
3 x 10⁴ (2 x 10⁵),267619
3 x 10⁴ (2 x 10⁵),264143
3 x 10⁴ (2 x 10⁵),264926
3 x 10⁴ (2 x 10⁵),265615
3 x 10⁴ (2 x 10⁵),265623
3 x 10⁴ (2 x 10⁵),264983
3 x 10⁴ (2 x 10⁵),262460
3 x 10⁴ (2 x 10⁵),264843
3 x 10⁴ (2 x 10⁵),265306
3 x 10⁴ (2 x 10⁵),265407
3 x 10⁴ (2 x 10⁵),268962
3 x 10⁴ (2 x 10⁵),265570
3 x 10⁴ (2 x 10⁵),264125
3 x 10⁴ (2 x 10⁵),264326
3 x 10⁴ (2 x 10⁵),264367
3 x 10⁴ (2 x 10⁵),268110
3 x 10⁴ (2 x 10⁵),266074
3 x 10⁴ (2 x 10⁵),264825
3 x 10⁴ (2 x 10⁵),264347
3 x 10⁴ (2 x 10⁵),266882
3 x 10⁴ (2 x 10⁵),270183
3 x 10⁴ (2 x 10⁵),263921
3 x 10⁴ (2 x 10⁵),263382
3 x 10⁴ (2 x 10⁵),264617
3 x 10⁴ (2 x 10⁵),261789
7 x 10⁴ (2 x 10⁵),242486
7 x 10⁴ (2 x 10⁵),246331
7 x 10⁴ (2 x 10⁵),244020
7 x 10⁴ (2 x 10⁵),250284
7 x 10⁴ (2 x 10⁵),238145
7 x 10⁴ (2 x 10⁵),246801
7 x 10⁴ (2 x 10⁵),246020
7 x 10⁴ (2 x 10⁵),235144
7 x 10⁴ (2 x 10⁵),234990
7 x 10⁴ (2 x 10⁵),245606
7 x 10⁴ (2 x 10⁵),244146
7 x 10⁴ (2 x 10⁵),256645
7 x 10⁴ (2 x 10⁵),230059
7 x 10⁴ (2 x 10⁵),251048
7 x 10⁴ (2 x 10⁵),243044
7 x 10⁴ (2 x 10⁵),242554
7 x 10⁴ (2 x 10⁵),247259
7 x 10⁴ (2 x 10⁵),258665
7 x 10⁴ (2 x 10⁵),243333
7 x 10⁴ (2 x 10⁵),252258
7 x 10⁴ (2 x 10⁵),251112
7 x 10⁴ (2 x 10⁵),247946
7 x 10⁴ (2 x 10⁵),232306
7 x 10⁴ (2 x 10⁵),247812
7 x 10⁴ (2 x 10⁵),247218
7 x 10⁴ (2 x 10⁵),241657
7 x 10⁴ (2 x 10⁵),250023
7 x 10⁴ (2 x 10⁵),243822
7 x 10⁴ (2 x 10⁵),249789
7 x 10⁴ (2 x 10⁵),243183
7 x 10⁴ (2 x 10⁵),251278
7 x 10⁴ (2 x 10⁵),237815
7 x 10⁴ (2 x 10⁵),229553
7 x 10⁴ (2 x 10⁵),241471
7 x 10⁴ (2 x 10⁵),232472
7 x 10⁴ (2 x 10⁵),232623
7 x 10⁴ (2 x 10⁵),244164
7 x 10⁴ (2 x 10⁵),230983
7 x 10⁴ (2 x 10⁵),246687
7 x 10⁴ (2 x 10⁵),244602
7 x 10⁴ (2 x 10⁵),243529
7 x 10⁴ (2 x 10⁵),244049
7 x 10⁴ (2 x 10⁵),234500
7 x 10⁴ (2 x 10⁵),240627
7 x 10⁴ (2 x 10⁵),240312
7 x 10⁴ (2 x 10⁵),254203
7 x 10⁴ (2 x 10⁵),253643
7 x 10⁴ (2 x 10⁵),245942
7 x 10⁴ (2 x 10⁵),248849
7 x 10⁴ (2 x 10⁵),235699
2 x 10⁵ (4 x 10⁵),85083
2 x 10⁵ (4 x 10⁵),114294
2 x 10⁵ (4 x 10⁵),187773
2 x 10⁵ (4 x 10⁵),150985
2 x 10⁵ (4 x 10⁵),149615
2 x 10⁵ (4 x 10⁵),160087
2 x 10⁵ (4 x 10⁵),205853
2 x 10⁵ (4 x 10⁵),188716
2 x 10⁵ (4 x 10⁵),134393
2 x 10⁵ (4 x 10⁵),128370
2 x 10⁵ (4 x 10⁵),188273
2 x 10⁵ (4 x 10⁵),168314
2 x 10⁵ (4 x 10⁵),209081
2 x 10⁵ (4 x 10⁵),244593
2 x 10⁵ (4 x 10⁵),182612
2 x 10⁵ (4 x 10⁵),209414
2 x 10⁵ (4 x 10⁵),130678
2 x 10⁵ (4 x 10⁵),199225
2 x 10⁵ (4 x 10⁵),98631
2 x 10⁵ (4 x 10⁵),202040
2 x 10⁵ (4 x 10⁵),180143
2 x 10⁵ (4 x 10⁵),143172
2 x 10⁵ (4 x 10⁵),154232
2 x 10⁵ (4 x 10⁵),181839
2 x 10⁵ (4 x 10⁵),169939
2 x 10⁵ (4 x 10⁵),207210
2 x 10⁵ (4 x 10⁵),126240
2 x 10⁵ (4 x 10⁵),210311
2 x 10⁵ (4 x 10⁵),227875
2 x 10⁵ (4 x 10⁵),143739
2 x 10⁵ (4 x 10⁵),162689
2 x 10⁵ (4 x 10⁵),187063
2 x 10⁵ (4 x 10⁵),139476
2 x 10⁵ (4 x 10⁵),90699
2 x 10⁵ (4 x 10⁵),206041
2 x 10⁵ (4 x 10⁵),223178
2 x 10⁵ (4 x 10⁵),157255
2 x 10⁵ (4 x 10⁵),138300
2 x 10⁵ (4 x 10⁵),177796
2 x 10⁵ (4 x 10⁵),219879
2 x 10⁵ (4 x 10⁵),99293
2 x 10⁵ (4 x 10⁵),125167
2 x 10⁵ (4 x 10⁵),163454
2 x 10⁵ (4 x 10⁵),132670
2 x 10⁵ (4 x 10⁵),156150
2 x 10⁵ (4 x 10⁵),180206
2 x 10⁵ (4 x 10⁵),125543
2 x 10⁵ (4 x 10⁵),159435
2 x 10⁵ (4 x 10⁵),169886
2 x 10⁵ (4 x 10⁵),129999
