Initial tree cover (fraction),Tree cover (fraction) after 200 years
0.33,0.283763021230697
0.33,0.280540376901626
0.33,0.277526050806045
0.33,0.277644306421279
0.33,0.272034496068954
0.33,0.278662115335464
0.33,0.271197915077209
0.33,0.283377826213836
0.33,0.286661237478256
0.33,0.284099400043487
0.33,0.281736105680465
0.33,0.276727437973022
0.33,0.280769318342208
0.33,0.267539054155349
0.33,0.297938376665115
0.33,0.263496100902557
0.33,0.288017570972442
0.33,0.27748480439186
0.33,0.259584426879882
0.33,0.28169161081314
0.33,0.282245010137558
0.33,0.284799247980117
0.33,0.288744568824768
0.33,0.27567383646965
0.36,0.307246088981628
0.36,0.314054906368255
0.36,0.309851348400115
0.36,0.30394098162651
0.36,0.309904515743255
0.36,0.305194228887558
0.36,0.316946625709533
0.36,0.286537557840347
0.36,0.306754559278488
0.36,0.312897145748138
0.36,0.294016927480697
0.36,0.299492180347442
0.36,0.31126844882965
0.36,0.317594408988952
0.36,0.317439228296279
0.36,0.307442486286163
0.36,0.287102878093719
0.36,0.307714849710464
0.36,0.308498263359069
0.36,0.305618494749069
0.36,0.30776908993721
0.36,0.320018440485
0.36,0.303629547357559
0.36,0.311017781496048
0.39,0.340962469577789
0.39,0.346018880605697
0.39,0.350861549377441
0.39,0.349835067987442
0.39,0.346793621778488
0.39,0.337631285190582
0.39,0.344019085168838
0.39,0.342789709568023
0.39,0.341197907924652
0.39,0.353710949420928
0.39,0.341829419136047
0.39,0.350310325622558
0.39,0.355431854724884
0.39,0.357336163520813
0.39,0.342055112123489
0.39,0.342075735330581
0.39,0.325965702533721
0.39,0.348238945007324
0.39,0.34257486462593
0.39,0.343492835760116
0.39,0.350389540195465
0.42,0.38334310054778997
0.42,0.382085502147674
0.42,0.380394965410232
0.42,0.38334310054778997
0.42,0.377828776836395
0.42,0.372166872024536
0.42,0.376600474119186
0.42,0.352458775043487
0.42,0.364954441785812
0.42,0.383398443460464
0.42,0.38099718093872
0.42,0.375221341848373
0.42,0.36683377623558
0.42,0.376336812973022
0.42,0.361072063446044
0.42,0.39564236998558
0.42,0.371504992246627
0.42,0.382836371660232
0.45,0.41322699189186
0.45,0.404508471488952
0.45,0.405415594577789
0.45,0.409206807613372
0.45,0.410413414239883
0.45,0.407039940357208
0.45,0.401185989379882
0.45,0.404755860567092
0.45,0.403667539358139
0.45,0.40156465768814
0.45,0.405928820371627
0.45,0.402381718158721
0.45,0.407978504896163
0.45,0.39761608839035
0.45,0.952415347099304
0.45,0.405474185943603
0.45,0.398216158151626
0.45,0.411354154348373
0.48,0.951302111148834
0.48,0.952521681785583
0.48,0.953534066677093
0.48,0.95119571685791
0.48,0.952198326587677
0.48,0.95181530714035
0.48,0.952537953853607
0.48,0.950230062007904
0.48,0.950851798057556
0.48,0.951166450977325
0.48,0.952641069889068
0.48,0.952151715755462
0.48,0.952866733074188
0.48,0.950730264186859
0.48,0.951676428318023
0.48,0.95189344882965
0.48,0.950339615345001
0.48,0.95307183265686
0.51,0.952560782432556
0.51,0.952454447746276
0.51,0.951487600803375
0.51,0.951818585395813
0.51,0.95097005367279
0.51,0.952166855335235
0.51,0.950788855552673
0.51,0.951983511447906
0.51,0.951712250709533
0.51,0.950540363788604
0.51,0.950722634792327
0.51,0.95179796218872
0.51,0.951155602931976
0.51,0.952084422111511
0.51,0.950890839099884
0.51,0.951024293899536
0.51,0.952170133590698
0.51,0.950187742710113
0.54,0.952309012413024
0.54,0.950023889541626
0.54,0.950252830982208
0.54,0.951201200485229
0.54,0.952352404594421
0.54,0.950155138969421
0.54,0.951450765132904
0.54,0.951705753803253
0.54,0.952513039112091
0.54,0.951715469360351
